Name,Description
7zip,File archiver for extremely high compression
alacritty,"A cross-platform, GPU-accelerated terminal emulator"
alsa-tools,Advanced tools for certain sound cards
alsa-utils,Advanced Linux Sound Architecture - Utilities
amd-ucode,Microcode update image for AMD CPUs
ananicy-cpp,"Ananicy Cpp is a full rewrite of Ananicy in C++, featuring lower CPU and RAM usage."
base,Minimal package set to define a basic Arch Linux installation
base-devel,Basic tools to build Arch Linux packages
bat,Cat clone with syntax highlighting and git integration
beeper-v4-bin,The ultimate messaging app
bind,"A complete, highly portable implementation of the DNS protocol"
blender-bin,A fully integrated 3D graphics creation suite (with packaged libraries and python3.11)
bluez,Daemons for the bluetooth protocol stack
bluez-utils,Development and debugging utilities for the bluetooth protocol stack
brightnessctl,Lightweight brightness control tool
btop,"A monitor of system resources, bpytop ported to C++"
btrfs-progs,Btrfs filesystem utilities
bun,"Incredibly fast JavaScript runtime, bundler, test runner, and package manager – all in one"
can-utils,Linux-CAN / SocketCAN user space applications
carapace-bin,A multi-shell completion binary
chrony,Lightweight NTP client and server
clang,C language family frontend for LLVM
cups,OpenPrinting CUPS - daemon package
cursor-bin,AI-first coding environment
dnsmasq,"Lightweight, easy to configure DNS forwarder and DHCP server"
docker,"Pack, ship and run any application as a lightweight container"
docker-buildx,Docker CLI plugin for extended build capabilities with BuildKit
docker-compose,"Fast, isolated development environments using Docker"
dos2unix,Text file format converter
downgrade,Bash script for downgrading one or more packages to a version in your cache or the A.L.A.
eza,A modern replacement for ls (community fork of exa)
fastfetch,A feature-rich and performance oriented neofetch like system information tool
filezilla,"Fast and reliable FTP, FTPS and SFTP client"
fprintd,D-Bus service to access fingerprint readers
gdal,A translator library for raster and vector geospatial data formats
gimp,GNU Image Manipulation Program
git,the fast distributed version control system
github-cli,The GitHub CLI
glib2-devel,Low level core library - development tools
gnome-themes-extra,Extra GNOME themes (legacy HighContrast icon theme and index files for Adwaita)
gnuplot,"Plotting package which outputs to X11, PostScript, PNG, GIF, and others"
hummingbird-player,Modern music player written in Rust using GPUI with a focus on design and performance
hunspell-en_gb,GB English hunspell dictionaries
hunspell-fr-classical,French Hunspell dictionary (classical variant)
hyperfine,A command-line benchmarking tool
hypridle,hyprland’s idle daemon
hyprland,a highly customizable dynamic tiling Wayland compositor
hyprlock,hyprland’s GPU-accelerated screen locking utility
hyprpicker,A wlroots-compatible Wayland color picker that does not suck
hyprshot,Hyprland screenshot utility
hyprsunset,An application to enable a blue-light filter on Hyprland
imagemagick,An image viewing/manipulation program
imv,Image viewer for Wayland and X11
indent,C language source code formatting program
inetutils,A collection of common network programs
inkscape-bin,Professional vector graphics editor - Prebuilt AppImage
iwd,Internet Wireless Daemon
jujutsu,Git-compatible VCS that is both simple and powerful
keepass-keetheme,plugin that provides a dark theme for keepass
keepassxc,Cross-platform community-driven port of Keepass password manager
keychain,"A front-end to ssh-agent, allowing one long-running ssh-agent process per system, rather than per login"
lib32-gcc-libs,32-bit runtime libraries shipped by GCC
lib32-glibc,GNU C Library (32-bit)
libcamera,"A complex camera support library for Linux, Android, and ChromeOS"
libfprint-goodixtls-git,libfprint fork for goodixtls devices. Currently supports 5110. Note you will need to flash your device with [goodix-fp-dump](https://github.com/mpi3d/goodix-fp-dump) to use this
libqalculate,Multi-purpose desktop calculator
libvirt,"API for controlling virtualization engines (openvz,kvm,qemu,virtualbox,xen,etc)"
libxerces-c-3.2,A validating XML parser written in a portable subset of C++ legacy version: 3.2
libxml2-legacy,XML C parser and toolkit (legacy version)
linux,The Linux kernel and modules
linux-firmware,Firmware files for Linux - Default set
linux-headers,Headers and scripts for building modules for the Linux kernel
lld,Linker from the LLVM project
localsend-bin,An open source cross-platform alternative to AirDrop
mako,Lightweight notification daemon for Wayland
man-db,A utility for reading man pages
man-pages,Linux man pages
mixxx,"Free, open source software for digital DJing"
nautilus,Default file manager for GNOME
nautilus-metadata-editor,Nautilus extension with simple Metadata Editor
neovim,"Fork of Vim aiming to improve user experience, plugins, and GUIs"
networkmanager,Network connection manager and user applications
nmap,Utility for network discovery and security auditing
noto-fonts,Google Noto TTF fonts
noto-fonts-cjk,Google Noto CJK fonts
noto-fonts-emoji,Google Noto Color Emoji font
nvme-cli,NVM-Express user space tooling for Linux
obsidian,A powerful knowledge base that works on top of a local folder of plain text Markdown files
openssh,"SSH protocol implementation for remote login, command execution and file transfer"
pandoc-cli,Conversion between documentation formats
paru,Feature packed AUR helper
paru-debug,Detached debugging symbols for paru
perf,Linux kernel performance auditing tool
pipewire-alsa,Low-latency audio/video router and processor - ALSA configuration
pipewire-pulse,Low-latency audio/video router and processor - PulseAudio replacement
pnpm,"Fast, disk space efficient package manager"
polkit-gnome,Legacy polkit authentication agent for GNOME
powertop,A tool to diagnose issues with power consumption and power management
probe-rs,A collection of on chip debugging tools to communicate with microchips.
python-matplotlib,"A python plotting library, making publication quality plots"
python-poetry,Python dependency management and packaging made easy
python-virtualenv,Virtual Python Environment builder
qemu-full,A full QEMU setup
quota-tools,Tools to manage kernel-level quotas in Linux
reflector-rs,Retrieve and filter the latest Arch Linux mirror list (Rust implementation)
riffdiff-bin,A diff filter highlighting which line parts have changed
ripgrep,A search tool that combines the usability of ag with the raw speed of grep
rsync,A fast and versatile file copying tool for remote and local files
rustup,The Rust toolchain installer
satty,"Modern screenshot annotation tool, inspired by Swappy and Flameshot"
sharutils,Makes so-called shell archives out of many files
snap-pac,Pacman hooks that use snapper to create pre/post btrfs snapshots like openSUSE's YaST
snapper,A tool for managing BTRFS and LVM snapshots
sof-firmware,Sound Open Firmware
steghide-bin,A steganography program (binary version from Debian)
sudo,Give certain users the ability to run some commands as root
swayosd,A GTK based on screen display for keyboard shortcuts like caps-lock and volume
thunderbird,Standalone mail and news reader from mozilla.org
tlp,Linux Advanced Power Management
tofi,Tiny rofi / dmenu replacement for wlroots-based Wayland compositors.
tree,A directory listing program displaying a depth indented list of files
ttf-fira-code,Monospaced font with programming ligatures
ttf-firacode-nerd,Patched font Fira (Fura) Code from nerd fonts library
ttf-hack-nerd,Patched font Hack from nerd fonts library
typst,A markup-based typesetting system for the sciences
unzip,For extracting and viewing files in .zip archives
uwsm,A standalone Wayland session manager
virt-manager,Desktop user interface for managing virtual machines
visual-studio-code-bin,Visual Studio Code (vscode): Editor for building and debugging modern web and cloud applications (official binary version)
waybar,Highly customizable Wayland bar for Sway and Wlroots based compositors
wget,Network utility to retrieve files from the web
wiremix,A simple TUI audio mixer for PipeWire
wireshark-qt,Network traffic and protocol analyzer/sniffer - Qt GUI
wpaperd,Modern wallpaper daemon for Wayland
xdg-desktop-portal-hyprland,xdg-desktop-portal backend for hyprland
zathura,Minimalistic document viewer
zathura-pdf-mupdf,"PDF support for Zathura (MuPDF backend) (Supports PDF, ePub, and OpenXPS)"
zed-preview-bin,"A high-performance, multiplayer code editor from the creators of Atom and Tree-sitter"
zen-browser-bin,Performance oriented Firefox-based web browser
zenpower3-dkms,Linux kernel driver for reading sensors for AMD Zen family CPUs
zip,Compressor/archiver for creating and modifying zipfiles
zoxide,A smarter cd command for your terminal
zram-generator,Systemd unit generator for zram devices
zsh,A very advanced and programmable command interpreter (shell) for UNIX
